Number	totalseconds	writingscore	Q1	Q2	Q4_行1	Q4_行2	Q4_行3	Q4_行4	Q4_行5	Q4_行6	Q4_行7	Q4_行8	Q4_行9	Q4_行10	Q4_行11	Q4_行12	Q4_行13	Q4_行14	Q4_行15	Q4_行16	Q4_行17	Q4_行18	Q4_行19	Q4_行20	Q4_行21	Q4_行22	Q4_行23	Q4_行24	Q4_行25	Q4_行26	Q5_行1	Q5_行2	Q5_行3	Q5_行4	Q5_行5	Q5_行6	Q5_行7	Q5_行8	Q5_行9	Q5_行10	Q5_行11	Q5_行12	Q5_行13	Q5_行14	Q5_行15	Q5_行16	Q5_行17	Q5_行18	Q5_行19	Q5_行20	Q5_行21	Q5_行22
114	235	89.00	1	21	4	3	2	4	4	2	1	3	2	4	1	2	4	2	3	1	2	4	3	4	4	1	4	3	3	4	4	2	3	2	3	3	4	3	3	2	2	2	3	3	2	4	4	3	4	4	2	3
115	202	89.00	2	20	4	3	2	4	4	3	2	2	2	4	4	3	4	2	3	3	4	2	4	4	3	4	4	4	3	3	3	4	2	2	3	3	2	3	3	3	4	2	3	4	3	4	3	3	3	4	3	4
116	131		1	20	3	2	2	3	3	2	2	2	2	3	2	2	2	2	2	4	2	3	3	4	4	4	3	4	3	3	4	3	4	4	4	3	2	2	2	3	4	2	4	4	3	2	4	4	2	2	4	2
117	114	86.00	2	20	3	2	2	3	2	2	3	3	2	3	4	4	2	2	2	4	2	2	2	4	3	3	3	3	1	2	5	5	3	4	4	5	4	4	5	5	5	5	3	3	3	4	3	4	2	4	5	2
118	284	86.00	2	21	4	2	2	4	2	3	1	2	2	3	4	4	2	2	3	1	1	2	4	4	4	4	3	4	4	3	4	2	3	2	2	3	1	3	3	3	3	3	3	3	4	2	3	2	2	2	2	3
119	166	80.00	2	20	2	1	2	4	3	1	4	2	2	2	4	4	2	1	3	4	3	3	3	3	4	4	4	3	4	3	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	5	3	4	4	4	4	4
120	506	90.00	2	22	3	4	2	3	2	3	2	2	1	4	3	3	2	1	3	4	3	3	4	3	3	2	3	4	3	4	4	3	3	4	3	4	2	3	3	4	4	2	4	4	3	4	3	4	4	4	4	4
121	240	90.00	2	20	2	4	1	4	3	1	3	2	1	3	4	3	4	3	3	1	3	2	2	4	4	3	4	4	2	3	5	4	4	5	5	5	4	4	4	4	4	4	4	4	1	5	4	5	4	5	5	5
122	244	91.00	2	21	4	2	2	3	3	2	2	2	2	3	3	3	3	2	4	3	2	3	4	3	3	4	3	3	3	3	4	3	3	4	2	3	2	4	3	3	2	2	3	3	2	4	4	4	3	4	4	4
123	140	89.00	2	21	3	4	2	4	3	1	2	3	2	2	3	2	4	1	4	1	4	4	4	4	4	4	4	3	3	3	4	3	2	3	3	4	1	3	3	3	1	1	3	3	2	3	4	4	4	3	2	5
124	268	87.00	2	21	4	4	3	4	3	2	3	2	4	3	3	3	3	2	3	2	3	3	3	3	3	4	4	4	3	4	5	5	4	4	4	4	4	3	4	4	2	3	4	4	2	2	2	4	2	3	4	3
125	36	66.00	1	20	1	1	1	1	2	3	3	2	2	2	4	4	4	2	2	2	1	1	1	2	2	2	3	4	1	1	5	5	5	5	5	4	4	4	4	4	3	3	3	3	3	2	2	2	1	1	5	5
126	336	93.00	2	21	4	3	3	3	3	3	2	2	3	4	4	4	3	1	3	4	3	3	4	4	4	4	4	4	3	4	4	2	3	4	4	5	3	4	3	3	3	2	4	3	4	4	2	4	3	4	3	5
127	151	77.00	2	20	3	2	2	3	2	2	2	2	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	5	4	4	4	4	5	4	4	4	4	4	4	4	4	4	4	4	4	5	3	5	4
128	343	85.00	2	22	3	4	3	3	4	3	3	1	1	3	4	4	3	3	4	4	1	1	2	4	4	4	4	4	4	3	4	3	2	4	4	4	4	4	3	4	3	4	4	4	2	4	4	4	3	4	4	4
129	565	90.00	2	19	2	2	1	4	3	1	1	2	1	3	4	3	4	2	4	1	2	2	3	4	3	4	3	4	3	3	3	4	3	3	4	3	3	3	3	3	3	2	2	2	4	3	2	4	2	4	4	3
130	270	91.00	1	20	2	2	1	4	2	2	2	2	2	2	3	3	1	1	4	3	2	3	2	4	2	2	2	3	2	2	2	4	1	3	3	4	2	4	4	4	4	2	5	5	1	4	5	4	4	5	4	5
131	165	90.00	2	21	2	4	3	4	4	3	4	4	3	4	4	4	3	1	4	3	4	4	4	4	4	4	4	4	4	4	4	3	1	4	4	4	1	2	3	3	3	3	3	3	3	3	3	4	1	3	3	3
132	449	93.00	2	20	4	4	2	2	3	2	2	2	3	3	3	3	3	2	4	4	3	3	3	4	4	4	4	4	2	2	4	5	3	3	5	4	3	3	3	3	4	3	4	4	2	4	3	4	3	3	5	4
133	321	94.00	2	21	4	4	4	4	2	2	3	3	3	4	4	3	4	1	4	4	3	4	4	4	4	4	4	4	2	4	3	1	1	1	1	3	1	3	1	1	1	1	5	5	4	1	1	1	1	3	1	5
134	292	93.00	2	21	3	4	3	4	4	3	2	1	4	4	3	4	1	1	4	4	4	4	4	4	4	4	4	4	4	4	4	5	4	4	4	5	4	1	3	3	3	2	4	4	2	4	2	2	2	4	4	4
135	419	93.00	2	21	4	4	3	3	3	3	2	2	4	4	3	3	3	1	4	2	4	3	4	4	3	4	4	4	4	4	4	2	3	3	3	3	3	2	2	2	2	2	3	2	3	3	2	2	2	2	2	3
136	117	88.00	1	21	4	3	3	3	3	1	2	3	3	4	3	4	3	2	4	3	4	4	4	4	4	4	4	4	4	4	5	3	4	4	3	4	3	3	3	3	3	3	3	3	4	3	3	4	3	3	4	3
137	170	90.00	2	21	4	4	4	3	4	2	1	1	2	2	3	4	3	2	2	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	5	4	2	5	5	5	5	5	5	4	5	2	3	3	4	5	3
138	250	94.00	2	20	4	3	2	4	3	2	2	3	3	4	4	4	1	1	4	4	4	4	4	4	4	4	3	3	4	4	3	5	1	4	4	4	2	4	3	3	3	1	3	2	4	4	2	4	4	3	4	4
139	405	94.00	2	21	4	4	2	4	3	3	4	2	2	4	4	4	2	2	4	4	4	4	4	4	4	4	4	4	3	4	3	3	2	4	3	3	3	3	4	4	4	4	4	4	3	3	3	4	4	4	3	4
140	198	92.00	2	20	4	4	3	4	3	2	2	2	2	4	3	4	4	1	4	4	4	3	4	4	4	4	4	4	3	4	5	4	3	4	4	4	3	3	5	4	4	3	3	4	2	4	5	5	4	4	4	5
141	359	83.00	2	20	4	4	2	4	4	1	2	2	1	4	4	2	3	1	4	4	3	4	4	4	4	4	3	4	4	4	5	4	5	4	5	5	5	2	3	3	4	3	3	3	3	5	5	2	2	4	2	5
142	172	83.00	2	20	1	3	1	3	3	3	3	1	1	4	4	4	4	1	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	4	4	4	4	2	2	4	4	2	4	4	2	4	2
143	207	85.00	2	21	4	4	2	4	3	2	3	2	3	3	3	4	2	1	3	3	2	2	3	4	4	4	4	4	3	4	3	3	3	3	3	2	1	2	1	1	1	1	3	3	4	2	2	2	2	2	3	3
144	270	84.00	1	21	2	4	1	4	4	2	2	2	2	2	4	2	2	2	2	2	2	2	2	4	3	4	4	4	4	2	4	3	3	4	4	4	4	3	4	4	4	4	4	4	2	3	2	3	2	2	2	3
145	191	86.00	2	21	4	4	2	4	3	2	2	2	2	4	4	3	4	2	4	4	3	3	4	4	4	4	4	4	3	4	4	3	4	4	4	3	3	3	2	2	2	2	3	3	3	4	4	4	4	4	3	4
146	156	94.00	1	18	4	3	3	3	4	2	2	2	3	4	4	4	4	2	4	4	2	3	4	4	4	2	4	4	4	4	1	2	2	3	4	1	1	3	4	4	1	1	1	2	2	3	4	5	1	1	1	2
147	89	92.00	1	18	4	3	3	3	4	2	2	2	3	4	4	4	4	2	4	4	2	3	4	4	4	2	4	4	4	4	1	2	2	3	4	1	1	3	4	4	1	1	1	2	2	3	4	5	1	1	1	2
148	158	93.00	1	18	4	3	3	3	4	2	2	2	3	4	4	4	4	2	4	4	2	3	4	4	4	2	4	4	4	4	1	2	2	3	4	1	1	3	4	4	1	1	1	2	2	3	4	5	1	1	1	2
149	256	93.00	1	18	4	3	3	3	4	2	2	2	3	4	4	4	4	2	4	4	2	3	4	4	4	2	4	4	4	4	1	2	2	3	4	1	1	3	4	4	1	1	1	2	2	3	4	5	1	1	1	2
150	506	90.00	2	22	3	4	2	3	2	3	2	2	1	4	3	3	2	1	3	4	3	3	4	3	3	2	3	4	3	4	4	3	3	4	3	4	2	3	3	4	4	2	4	4	3	4	3	4	4	4	4	4
151	325	93.00	2	21	4	4	3	3	3	3	2	2	4	4	3	3	3	1	4	2	4	3	4	4	3	4	4	4	4	4	4	2	3	3	3	3	3	2	2	2	2	2	3	2	3	3	2	2	2	2	2	3
152	76	66.00	1	20	1	1	1	1	2	3	3	2	2	2	4	4	4	2	2	2	1	1	1	2	2	2	3	4	1	1	5	5	5	5	5	4	4	4	4	4	3	3	3	3	3	2	2	2	1	1	5	5
153	131	94.00	1	20	3	2	2	3	3	2	2	2	2	3	2	2	2	2	2	4	2	3	3	4	4	4	3	4	3	3	4	3	4	4	4	3	2	2	2	3	4	2	4	4	3	2	4	4	2	2	4	2
154	164	84.00	2	21	4	3	2	4	3	4	4	4	2	4	2	3	4	3	4	4	3	3	4	4	4	4	4	4	3	4	3	2	2	2	2	3	2	3	2	2	2	2	3	3	3	2	2	3	2	4	3	3
155	186	88.00	2	20	2	2	2	3	3	1	2	4	4	2	2	3	3	1	4	3	1	3	2	3	4	1	2	1	4	4	4	3	4	3	3	4	3	5	5	4	4	3	2	2	5	5	3	1	2	1	2	5
156	256	91.00	1	20	2	2	1	4	2	2	2	2	2	2	3	3	1	1	4	3	2	3	2	4	2	2	2	3	2	2	2	4	1	3	3	4	2	4	4	4	4	2	5	5	1	4	5	4	4	5	4	5
157	225	91.00	2	20	4	4	3	4	4	3	3	3	3	4	4	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	2	3	3	4	4	4	2	2	2	2	2	3	2	3	4	4	4	4	5	3	5
158	228	92.00	2	20	4	4	3	4	3	3	3	3	4	4	3	2	3	2	4	3	4	4	4	3	4	4	4	3	4	4	2	3	2	3	1	1	2	3	2	2	2	2	3	1	3	2	3	4	4	3	1	3
159	162	89.00	2	20	4	2	1	4	3	2	1	1	1	4	4	3	4	1	4	4	1	3	3	4	4	4	3	4	2	3	2	1	2	2	2	2	2	4	2	2	2	2	4	4	3	2	3	3	3	3	3	3
160	176	85.00	2	22	3	3	1	3	2	1	1	1	1	4	4	4	4	1	4	4	3	3	4	4	4	4	4	4	4	4	5	5	4	5	5	5	5	2	5	5	5	5	5	5	1	1	2	5	5	5	5	5
161	270	85.00	2	20	3	3	1	3	3	2	2	2	3	3	3	3	2	1	3	2	3	3	4	3	3	3	3	3	3	3	5	4	4	5	4	4	4	4	3	3	3	3	4	4	4	4	3	4	3	4	4	4
162	133	89.00	2	20	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3
163	203	89.00	2	22	4	4	2	4	3	2	1	1	3	4	2	3	2	1	4	4	4	4	4	4	4	4	4	4	4	4	3	2	2	2	2	2	2	2	2	2	3	2	2	3	4	2	2	2	2	3	1	4
164	183	95.00	2	20	4	4	3	4	2	1	3	2	1	4	2	3	4	3	2	3	4	1	4	4	4	3	4	4	2	4	3	1	1	1	1	1	1	1	1	1	1	1	3	3	5	4	1	4	1	1	1	1
